owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
martianlantern,thinkmesh,User,2025-08-24T03:21:57Z,2025-08-24T03:43:34Z,MIT,main,217,10,0,1,[],5865,False
kagehq,port-kill,Organization,2025-08-24T02:58:20Z,2025-08-28T12:01:48Z,NOASSERTION,main,349,4,4,0,[],7220,False
hkuds,deepcode,Organization,2025-05-14T05:23:02Z,2025-08-28T12:28:33Z,MIT,main,4410,450,14,48,"[""agentic-coding"", ""llm-agent""]",35113,True
nrposner,fizzcrate,User,2025-08-23T18:54:11Z,2025-08-23T19:11:09Z,,main,16,0,2,0,[],16585,False
underpig1,octos,User,2023-03-17T23:53:48Z,2025-08-24T03:07:00Z,MIT,master,584,8,4,6,"[""css"", ""desktop"", ""display"", ""engine"", ""graphics"", ""html"", ""wallpaper"", ""windows"", ""javascript"", ""octos""]",4070,True
lunarengine,lunar-test,User,2025-08-23T10:35:44Z,2025-08-28T18:37:38Z,MIT,main,448,25,10,8,[],6972,True
explosion,spacy,Organization,2014-07-03T15:15:40Z,2025-05-28T15:28:05Z,MIT,master,32361,4572,201,567,"[""natural-language-processing"", ""data-science"", ""machine-learning"", ""python"", ""cython"", ""nlp"", ""artificial-intelligence"", ""ai"", ""spacy"", ""nlp-library"", ""neural-network"", ""neural-networks"", ""deep-learning"", ""named-entity-recognition"", ""entity-linking"", ""text-classification"", ""tokenization""]",23776,True
3b1b,manim,User,2015-03-22T18:50:58Z,2025-06-14T15:50:43Z,MIT,master,80212,6858,465,929,"[""python"", ""animation"", ""explanatory-math-videos"", ""3b1b-videos""]",6598,True
rijinraju,octanedb,User,2025-08-20T17:48:22Z,2025-08-25T16:57:05Z,MIT,main,64,0,0,2,[],11324,False
ayushmi,agentstate,User,2025-08-21T13:05:35Z,2025-08-25T16:23:45Z,Apache-2.0,main,47,0,27,1,"[""ai-agents"", ""change-data-capture"", ""database"", ""grpc"", ""persistence"", ""crdt"", ""grafana"", ""helm-chart"", ""kubernetes"", ""observability"", ""prometheus"", ""rust"", ""sdk"", ""vector-search""]",13893,True
mbuhot,glyn,User,2025-08-09T03:06:26Z,2025-08-16T23:05:20Z,MIT,main,78,1,0,0,[],8185,False
mozilla-ai,any-llm,Organization,2025-07-14T15:38:20Z,2025-08-29T00:09:39Z,Apache-2.0,main,946,67,45,8,"[""inference"", ""llm"", ""text-completion""]",6569,True
evidlo,xsl-website,User,2021-02-03T01:00:46Z,2025-02-13T07:10:31Z,,master,89,5,0,1,[],629,False
whatwg,html,Organization,2013-08-08T06:26:07Z,2025-08-28T13:29:28Z,NOASSERTION,main,8743,2968,2280,709,"[""whatwg"", ""html"", ""standard"", ""canvas"", ""storage"", ""eventsource"", ""workers"", ""html-standard""]",879,False
browseros-ai,browseros,Organization,2025-05-18T16:23:54Z,2025-08-29T00:52:59Z,AGPL-3.0,main,3958,292,31,20,[],5461,True
whit3rabbit,bubbletea-rs,User,2025-08-02T20:56:15Z,2025-08-18T23:44:33Z,MIT,main,173,0,1,1,[],6073,True
murat-cileli,clyp,User,2025-08-14T22:19:59Z,2025-08-28T13:13:51Z,GPL-3.0,master,240,4,4,3,[],4291,True
lacquerai,lacquer,Organization,2025-06-17T08:34:17Z,2025-08-22T13:36:25Z,Apache-2.0,main,18,0,1,1,"[""ai"", ""workflow-automation"", ""agent-workflow"", ""agentic-ai"", ""cli"", ""integrations"", ""workflow"", ""workflow-engine""]",11105,True
imzackadams,aimless,User,2025-08-20T16:34:36Z,2025-08-27T16:28:47Z,,main,8,0,0,0,[],5883,False
open-energy-transition,awesome-electrical-grid-mapping,Organization,2025-01-02T14:47:40Z,2025-08-27T22:09:37Z,CC0-1.0,main,76,5,11,7,"[""electrical-grid"", ""gridmap"", ""openstreetmap"", ""powergrid"", ""awesome"", ""renewable-energy""]",49678,False
henrygabriels,fmllm,User,2025-08-13T07:14:28Z,2025-08-22T17:47:44Z,,main,12,0,0,0,[],8080,False
mehrantsi,feoxdb,User,2025-08-19T13:21:16Z,2025-08-28T16:04:18Z,Apache-2.0,master,119,1,1,0,"[""cache"", ""database"", ""embedded"", ""iouring"", ""key-value"", ""low-latency"", ""performance"", ""rust""]",16204,True
osyamato,os-yamato,User,2025-04-24T15:28:10Z,2025-08-28T06:18:53Z,NOASSERTION,main,25,0,0,1,[],4185,False
ghostty-org,ghostty,Organization,2022-03-29T17:38:26Z,2025-08-29T00:08:00Z,MIT,main,34828,1020,192,177,[],8743,True
mozilla-ai,mcpd,Organization,2025-05-28T11:23:01Z,2025-08-27T15:31:29Z,Apache-2.0,main,52,3,27,1,"[""daemon"", ""mcp"", ""ai"", ""cli"", ""declarative""]",6964,True
opactorai,claudable,Organization,2025-08-20T05:15:16Z,2025-08-28T19:55:20Z,MIT,main,1310,189,11,13,[],9508,False
growth-kinetics,diffmem,Organization,2025-08-20T14:35:47Z,2025-08-22T05:28:44Z,,main,551,30,1,12,[],7280,False
jamesplotts,simpleide,User,2025-08-17T14:40:42Z,2025-08-27T20:35:46Z,,main,95,3,1,5,[],9580,False
karpathy,rendergit,User,2025-08-20T03:25:28Z,2025-08-21T19:12:34Z,,master,1442,120,9,10,[],2066,False
plutoprint,plutoprint,Organization,2024-05-04T17:00:47Z,2025-08-28T04:09:48Z,MIT,main,599,22,3,6,"[""css"", ""html"", ""pdf"", ""python"", ""svg"", ""pdf-generator"", ""html-to-image"", ""html-to-pdf"", ""image-generator"", ""plutobook""]",8939,True
lsolbach,qclojure,User,2025-05-31T22:59:38Z,2025-08-28T22:45:30Z,EPL-1.0,main,25,0,0,1,[],7527,False
zedless-editor,zed,Organization,2025-02-13T21:58:31Z,2025-08-13T00:36:12Z,NOASSERTION,main,1011,17,7,9,[],1977,True
rhodey,bizcardz.ai,User,2024-08-03T21:41:28Z,2025-08-26T23:47:32Z,NOASSERTION,master,30,2,1,1,"[""ai"", ""kicad"", ""business"", ""cards""]",1656,False
google,pytype,Organization,2015-03-18T20:52:08Z,2025-08-25T23:06:48Z,NOASSERTION,main,4991,290,2,54,"[""python"", ""typing"", ""typechecker"", ""linter"", ""types"", ""static-analysis"", ""static-code-analysis""]",1769,False
okapi-core,okapi,User,2025-08-11T20:32:28Z,2025-08-20T05:52:05Z,Apache-2.0,main,10,0,0,0,[],8141,False
