hn_id,time_utc,title,url,resolved_url,score,descendants,is_show_hn,author
44986205,2025-08-22T16:03:26+00:00,Show HN: Clyp – Clipboard Manager for Linux,https://github.com/murat-cileli/clyp,https://github.com/murat-cileli/clyp,79,48,True,timeoperator
44985058,2025-08-22T14:22:45+00:00,Show HN: Lacquer – GitHub Actions for AI workflows in a single Go binary,https://github.com/lacquerai/lacquer,https://github.com/lacquerai/lacquer,11,1,True,hugorut
44984675,2025-08-22T13:49:06+00:00,Show HN: AIMless – a 10 KB single file P2P chat app with zero dependencies,https://github.com/ImZackAdams/AIMless,https://github.com/ImZackAdams/AIMless,13,5,True,NyxBNC
44983835,2025-08-22T12:38:47+00:00,Electrical Grid Mapping,https://github.com/open-energy-transition/Awesome-Electrical-Grid-Mapping,https://github.com/open-energy-transition/Awesome-Electrical-Grid-Mapping,10,0,False,protontypes
44982748,2025-08-22T10:14:59+00:00,"Fmllm: 4mb training data, 100mb model, Fibonacci embeddings, near-coherent. WTF?",https://github.com/henrygabriels/FMLLM/blob/main/README.md,https://github.com/henrygabriels/FMLLM/blob/main/README.md,37,27,False,gabriel666smith
44981989,2025-08-22T07:57:57+00:00,Show HN: FeOx – Fast embedded KV store in Rust,https://github.com/mehrantsi/FeOxDB,https://github.com/mehrantsi/FeOxDB,37,8,True,mehrant
44980042,2025-08-22T01:06:56+00:00,OS Yamato lets your data fade away,https://github.com/osyamato/os-yamato,https://github.com/osyamato/os-yamato,25,35,False,tsuyoshi_k
44977960,2025-08-21T20:54:34+00:00,Open Source Maintenance Fee,https://github.com/wixtoolset,https://github.com/wixtoolset,10,7,False,nilsbunger
44976568,2025-08-21T18:49:57+00:00,AI tooling must be disclosed for contributions,https://github.com/ghostty-org/ghostty/pull/8289,https://github.com/ghostty-org/ghostty/pull/8289,724,461,False,freetonik
44975562,2025-08-21T17:27:43+00:00,Show HN: mcpd – manage MCP servers with a single config file,https://github.com/mozilla-ai/mcpd,https://github.com/mozilla-ai/mcpd,14,1,True,AMeckes
44972255,2025-08-21T13:02:22+00:00,Show HN: Claudable – OpenSource Lovable that runs locally with Claude Code,https://github.com/opactorai/Claudable,https://github.com/opactorai/Claudable,38,10,True,aaronSong
44969622,2025-08-21T06:20:11+00:00,Show HN: I replaced vector databases with Git for AI memory (PoC),https://github.com/Growth-Kinetics/DiffMem,https://github.com/Growth-Kinetics/DiffMem,198,45,True,alexmrv
44967505,2025-08-20T23:15:55+00:00,SimpleIDE,https://github.com/jamesplotts/simpleide,https://github.com/jamesplotts/simpleide,100,54,False,impendingchange
44966940,2025-08-20T21:56:49+00:00,Render any Git repo into a single static HTML page for humans or LLMs,https://github.com/karpathy/rendergit,https://github.com/karpathy/rendergit,20,0,False,tortilla
44966170,2025-08-20T20:37:58+00:00,Show HN: PlutoPrint – Generate PDFs and PNGs from HTML with Python,https://github.com/plutoprint/plutoprint,https://github.com/plutoprint/plutoprint,161,48,True,sammycage
44965229,2025-08-20T19:12:58+00:00,Qclojure: Functional quantum computer programming library for Clojure,https://github.com/lsolbach/qclojure,https://github.com/lsolbach/qclojure,20,0,False,simonpure
